Series id,Year,Period,Value
LNS13023653,2013,M01,1202
LNS13023653,2013,M02,1083
LNS13023653,2013,M03,1113
LNS13023653,2013,M04,1202
LNS13023653,2013,M05,998
LNS13023653,2013,M06,1153
LNS13023653,2013,M07,1165
LNS13023653,2013,M08,1017
LNS13023653,2013,M09,1114
LNS13023653,2013,M10,1579
LNS13023653,2013,M11,1095
LNS13023653,2013,M12,1008
LNS13023653,2014,M01,1018
LNS13023653,2014,M02,1016
LNS13023653,2014,M03,1046
LNS13023653,2014,M04,1051
LNS13023653,2014,M05,1055
LNS13023653,2014,M06,987
LNS13023653,2014,M07,968
LNS13023653,2014,M08,1087
LNS13023653,2014,M09,944
LNS13023653,2014,M10,892
LNS13023653,2014,M11,1030
LNS13023653,2014,M12,947
LNS13023653,2015,M01,911
LNS13023653,2015,M02,1015
LNS13023653,2015,M03,1015
LNS13023653,2015,M04,1006
LNS13023653,2015,M05,1129
LNS13023653,2015,M06,1019
LNS13023653,2015,M07,953
LNS13023653,2015,M08,944
LNS13023653,2015,M09,917
LNS13023653,2015,M10,997
LNS13023653,2015,M11,898
LNS13023653,2015,M12,921
LNS13023653,2016,M01,837
LNS13023653,2016,M02,954
LNS13023653,2016,M03,921
LNS13023653,2016,M04,887
LNS13023653,2016,M05,916
LNS13023653,2016,M06,1125
LNS13023653,2016,M07,975
LNS13023653,2016,M08,985
LNS13023653,2016,M09,1057
LNS13023653,2016,M10,1028
LNS13023653,2016,M11,870
LNS13023653,2016,M12,1027
LNS13023653,2017,M01,1038
LNS13023653,2017,M02,994
LNS13023653,2017,M03,959
LNS13023653,2017,M04,939
LNS13023653,2017,M05,853
LNS13023653,2017,M06,914
LNS13023653,2017,M07,1010
LNS13023653,2017,M08,1011
LNS13023653,2017,M09,902
LNS13023653,2017,M10,909
LNS13023653,2017,M11,987
LNS13023653,2017,M12,946
LNS13023653,2018,M01,840
LNS13023653,2018,M02,867
LNS13023653,2018,M03,857
LNS13023653,2018,M04,860
LNS13023653,2018,M05,810
LNS13023653,2018,M06,949
LNS13023653,2018,M07,860
LNS13023653,2018,M08,846
LNS13023653,2018,M09,837
LNS13023653,2018,M10,849
LNS13023653,2018,M11,877
LNS13023653,2018,M12,776
LNS13023653,2019,M01,934
LNS13023653,2019,M02,790
LNS13023653,2019,M03,889
LNS13023653,2019,M04,719
LNS13023653,2019,M05,863
LNS13023653,2019,M06,848
LNS13023653,2019,M07,825
LNS13023653,2019,M08,810
LNS13023653,2019,M09,749
LNS13023653,2019,M10,809
LNS13023653,2019,M11,820
LNS13023653,2019,M12,821
LNS13023653,2020,M01,607
LNS13023653,2020,M02,776
LNS13023653,2020,M03,2094
LNS13023653,2020,M04,18015
LNS13023653,2020,M05,15298
LNS13023653,2020,M06,10614
LNS13023653,2020,M07,9214
LNS13023653,2020,M08,6145
LNS13023653,2020,M09,4592
LNS13023653,2020,M10,3210
LNS13023653,2020,M11,2806
LNS13023653,2020,M12,3082
LNS13023653,2021,M01,2705
LNS13023653,2021,M02,2259
LNS13023653,2021,M03,2086
LNS13023653,2021,M04,2072
LNS13023653,2021,M05,1829
LNS13023653,2021,M06,1814
LNS13023653,2021,M07,1220
LNS13023653,2021,M08,1213
LNS13023653,2021,M09,1094
LNS13023653,2021,M10,1026
LNS13023653,2021,M11,870
LNS13023653,2021,M12,801
LNS13023653,2022,M01,952
LNS13023653,2022,M02,879
LNS13023653,2022,M03,784
LNS13023653,2022,M04,857
LNS13023653,2022,M05,815
LNS13023653,2022,M06,832
LNS13023653,2022,M07,802
LNS13023653,2022,M08,796
LNS13023653,2022,M09,772
LNS13023653,2022,M10,853
LNS13023653,2022,M11,806
LNS13023653,2022,M12,814
LNS13023653,2023,M01,734
LNS13023653,2023,M02,816
LNS13023653,2023,M03,833
LNS13023653,2023,M04,709
LNS13023653,2023,M05,767
LNS13023653,2023,M06,842
LNS13023653,2023,M07,667

