Series id,Year,Period,Value
LNS13023705,2013,M01,998
LNS13023705,2013,M02,947
LNS13023705,2013,M03,976
LNS13023705,2013,M04,888
LNS13023705,2013,M05,942
LNS13023705,2013,M06,1029
LNS13023705,2013,M07,971
LNS13023705,2013,M08,880
LNS13023705,2013,M09,974
LNS13023705,2013,M10,852
LNS13023705,2013,M11,870
LNS13023705,2013,M12,855
LNS13023705,2014,M01,816
LNS13023705,2014,M02,814
LNS13023705,2014,M03,795
LNS13023705,2014,M04,806
LNS13023705,2014,M05,876
LNS13023705,2014,M06,854
LNS13023705,2014,M07,857
LNS13023705,2014,M08,849
LNS13023705,2014,M09,812
LNS13023705,2014,M10,781
LNS13023705,2014,M11,824
LNS13023705,2014,M12,793
LNS13023705,2015,M01,868
LNS13023705,2015,M02,900
LNS13023705,2015,M03,864
LNS13023705,2015,M04,841
LNS13023705,2015,M05,819
LNS13023705,2015,M06,765
LNS13023705,2015,M07,841
LNS13023705,2015,M08,775
LNS13023705,2015,M09,779
LNS13023705,2015,M10,785
LNS13023705,2015,M11,783
LNS13023705,2015,M12,815
LNS13023705,2016,M01,770
LNS13023705,2016,M02,765
LNS13023705,2016,M03,849
LNS13023705,2016,M04,859
LNS13023705,2016,M05,794
LNS13023705,2016,M06,826
LNS13023705,2016,M07,829
LNS13023705,2016,M08,893
LNS13023705,2016,M09,922
LNS13023705,2016,M10,957
LNS13023705,2016,M11,946
LNS13023705,2016,M12,885
LNS13023705,2017,M01,867
LNS13023705,2017,M02,802
LNS13023705,2017,M03,792
LNS13023705,2017,M04,766
LNS13023705,2017,M05,787
LNS13023705,2017,M06,801
LNS13023705,2017,M07,743
LNS13023705,2017,M08,802
LNS13023705,2017,M09,749
LNS13023705,2017,M10,742
LNS13023705,2017,M11,766
LNS13023705,2017,M12,720
LNS13023705,2018,M01,719
LNS13023705,2018,M02,774
LNS13023705,2018,M03,867
LNS13023705,2018,M04,803
LNS13023705,2018,M05,853
LNS13023705,2018,M06,797
LNS13023705,2018,M07,833
LNS13023705,2018,M08,883
LNS13023705,2018,M09,735
LNS13023705,2018,M10,725
LNS13023705,2018,M11,709
LNS13023705,2018,M12,832
LNS13023705,2019,M01,809
LNS13023705,2019,M02,840
LNS13023705,2019,M03,778
LNS13023705,2019,M04,724
LNS13023705,2019,M05,825
LNS13023705,2019,M06,894
LNS13023705,2019,M07,840
LNS13023705,2019,M08,790
LNS13023705,2019,M09,830
LNS13023705,2019,M10,834
LNS13023705,2019,M11,769
LNS13023705,2019,M12,833
LNS13023705,2020,M01,835
LNS13023705,2020,M02,766
LNS13023705,2020,M03,709
LNS13023705,2020,M04,549
LNS13023705,2020,M05,546
LNS13023705,2020,M06,560
LNS13023705,2020,M07,588
LNS13023705,2020,M08,614
LNS13023705,2020,M09,805
LNS13023705,2020,M10,764
LNS13023705,2020,M11,689
LNS13023705,2020,M12,758
LNS13023705,2021,M01,654
LNS13023705,2021,M02,707
LNS13023705,2021,M03,769
LNS13023705,2021,M04,819
LNS13023705,2021,M05,786
LNS13023705,2021,M06,944
LNS13023705,2021,M07,926
LNS13023705,2021,M08,827
LNS13023705,2021,M09,789
LNS13023705,2021,M10,844
LNS13023705,2021,M11,839
LNS13023705,2021,M12,725
LNS13023705,2022,M01,953
LNS13023705,2022,M02,964
LNS13023705,2022,M03,789
LNS13023705,2022,M04,794
LNS13023705,2022,M05,766
LNS13023705,2022,M06,833
LNS13023705,2022,M07,843
LNS13023705,2022,M08,897
LNS13023705,2022,M09,904
LNS13023705,2022,M10,861
LNS13023705,2022,M11,829
LNS13023705,2022,M12,825
LNS13023705,2023,M01,884
LNS13023705,2023,M02,891
LNS13023705,2023,M03,845
LNS13023705,2023,M04,790
LNS13023705,2023,M05,765
LNS13023705,2023,M06,794
LNS13023705,2023,M07,852
